Q31	country in western Europe
Q128295	city in Taylor and Jones counties in Texas, United States
Q128306	city in Texas, United States
Q128444	superhero comic book series by Alan Moore and Dave Gibbons
Q128499	resort town in Crimea
Q128831	independent agency of the U.S. Government
Q128897	association football club in Bosnia and Herzegovina
Q129259	city in Serbia
Q130048	municipality in Nordland, Norway
Q130308	prefecture of Japan
Q130521	Chinese professional football club
Q131005	flag-carrier and largest airline in France
Q131075	1954 edition of the FIFA World Cup
Q131128	municipality in Austria
Q131329	commune in Pas-de-Calais, France
Q131347	island of Hawaii, United States
Q131358	prefecture of Japan
Q131499	Portuguese association football club
Q131728	American professional wrestling promotion
Q131818	city in Algeria
Q132720	one of 47 prefectures of Japan
Q133116	city in Ontario, Canada
Q133123	city in Greece
Q133566	Stadium in Italy
Q134255	association football club in Poland
Q134287	city in Turkey and district of Mersin Province
Q134494	city in Győr-Moson-Sopron County, Hungary
Q134509	city in Egypt
Q134969	American alternative rock band
Q135393	archdiocese
Q135615	city in Greene County, Missouri, United States
Q138089	American professional basketball team
Q138101	Medieval building in Paris, France
Q138229	town and urban gmina of Poland
Q138345	oldest federal political party in Canada
Q138367	city in Camden County, New Jersey, United States
Q138752	building in London
Q139229	city in Quebec, Canada
Q139398	city in Quebec, Canada
Q139399	association football club in Italy
Q140083	region and district in the north of New Zealand's South Island
Q140180	town in the district of Hollabrunn in Lower Austria, Austria
Q141146	1923–2001 flag-carrier airline of Belgium
Q141971	German football club
Q142344	diocese of the Catholic Church
Q143719	political party in Israel
Q144190	Bulgarian association football club from Sofia
Q144488	largest university in Poland
Q144983	city in central Slovakia
Q146317	city in Hungary
Q146356	city in the Czech Republic
Q146469	city in Ukraine
Q146811	city in Muskingum County, Ohio, United States
Q147607	city in the Liberec region of norther Bohemia, Czech Republic
Q147847	man-portable surface-to-air missile system
Q149024	city of Ukraine
Q149105	town in the Czech Republic
Q149106	2001 open world action-adventure video game
Q150804	2002 biographic film on the Warsaw Ghetto directed by Roman Polanski
Q150820	men's magazine from the United States
Q151469	political party in Russia
Q151545	castle in Eisenach, Germany
Q152057	British multinational oil and gas company
Q152222	orchestra based in Berlin, Germany
Q152380	mountain in Palena Province' Chile
Q152572	association football club
Q153006	public research university in Berlin, Germany
Q153306	National Museum in Warsaw, Poland
Q153494	town in Germany
Q153616	German electronic music band founded in 1967 by Edgar Froese
Q153626	military branch of the Nazi Party's SS organisation (1940-1945)
Q153963	former German posesssion in the African Great Lakes region between 1884–1919
Q154849	former Italian state (1569–1801; 1815–1859)
Q155452	association football club in Germany
Q156119	town and municipality in Ludwigslust-Parchim district in Mecklenburg-Vorpommern, Germany
Q156198	skyscraper in Frankfurt, Germany
Q156453	municipality in Møre og Romsdal, Norway
Q156737	university in Germany
Q156752	city in northern Ukraine
Q156768	city in Saxony, Germany
Q156828	historic town situated on the Bóbr River in the Lower Silesian Voivodeship, in southwestern Poland
Q156837	city and urban gmina of Poland
Q157034	town in North Macedonia
Q157109	the Netherlands from 1384 to 1482
Q157341	market town in the  county of Norfolk, England
Q157367	former country
Q157464	association football club in Germany
Q157525	city of Ukraine
Q157825	art museum in Berlin
Q158053	city in the Luhansk Oblast of south-eastern Ukraine
Q158089	borough of Berlin, Germany
Q158547	German newspaper
Q158821	city
Q159288	city in California, United States
Q159457	municipality and city in Portugal
Q159838	Walloon city and municipality in the province of Liège in Belgium
Q160133	military division
Q160236	major art museum in New York City, United States
Q160544	city in the island of Crete, Greece
Q160687	city in Chile
Q160746	Swiss food and beverage company
Q161053	programming language
Q161176	city in Fukushima prefecture, Japan
Q161982	university in Germany
Q162144	municipality in Trøndelag, Norway
Q162317	German association football club
Q162475	county in Ireland
Q162548	city in East Kazakhstan
Q162880	prefecture-level city in Shandong, China
Q162954	American professional basketball team
Q162989	municipality in Saxony, Germany
Q163255	botanical garden and garden located in Berlin
Q163434	sea in the Arctic Ocean
Q163534	men's national association football team representing Austria
Q163625	Irish regional airline
Q163712	official currency of Malaysia
Q163715	diocese of the Catholic Church
Q164121	mountain
Q164193	administrative division (oblast) in western Ukraine
Q165380	city and independent municipality in Lower Saxony
Q165662	municipality in Gelderland, the Netherlands
Q166180	television channel based in Paris
Q166972	island
Q166977	county in Taiwan
Q167156	government ministry in India
Q167600	commune in Yonne, France
Q168001	cultural heritage monument in Lisboa, Portugal
Q168082	National railway operator in Hungary.
Q168389	archdiocese
Q168648	city in Hungary
Q168844	central bank of Poland
Q169165	American professional basketball team
Q169272	cycling team (2008-2011)
Q169889	American broadcast television network owned by The Walt Disney Company
Q169918	Italian football tournament
Q170019	Japanese manga series
Q170027	Federal research university in London, England
Q170041	Province of Iran
Q170088	ethnic group
Q170115	city in Jammu and Kashmir, India
Q170125	association football club in Germany
Q170143	geographical and historical region in Central and Eastern Europe
Q170243	municipality of Germany
Q170247	capital of Shandong province, China
Q170287	city in Serbia
Q170313	city in Mpumalanga, South Africa
Q170355	native peoples of the Australian continent and Torres Strait Islands
Q170366	city in Iran
Q170415	city in Bulgaria
Q170433	city in Passaic County, New Jersey, United States
Q170454	city in North-east India
Q170525	City in Morocco
Q170540	medium-sized city in the State of São Paulo, in southeastern Brazil
Q170996	county seat in Galați County, Romania
Q171224	city in Lane County, Oregon, United States
Q171277	opera in four acts by Giuseppe Verdi
Q171357	city in the central part of Hungary
Q171399	motorsport track in Japan
Q171400	street circuit around the harbour of the principality of Monaco
Q171402	motor racing circuit on the Buckinghamshire and Northamptonshire border, UK
Q171795	Northwest Caucasian ethnic group, mainly living in Abkhazia
Q171857	fort
Q171943	capital of Jiangxi province, China
Q172107	dualistic state, a bi-confederation, of Poland and Lithuania ruled by a common monarch, who was both the King of Poland and the Grand Duke of Lithuania
Q172190	stadium located at Olympic Park in Stratford, London, England
Q172271	2014 dark fantasy film
Q172869	race track
Q173121	municipal and state capital of Querétaro, Querétaro, Mexico
Q173152	French centre-right political party
Q173202	race track
Q173338	city in Montenegro
Q173527	ancient Minoan through Roman administrative center and city
Q173559	sports stadium in Cape Town, South Africa
Q174002	commune in Hauts-de-Seine, France
Q174220	university
Q174262	parish and port of Guernsey in the Channel Islands
Q174410	Japanese anime television series
Q174570	university in Westminster, UK
Q175038	1995 American science fiction film by Terry Gilliam
Q175271	Moscow Metro line
Q175452	city in Rostov Oblast, Russia
Q175741	Greek island in the Cyclades
Q177491	1976 Atari arcade game
Q178065	contemporary art museum in Paris, France
Q178131	winter sport
Q178275	influenza pandemic
Q178378	association football club
Q178416	music school in Saint Petersburg
Q178488	Greek island in the Ionian Sea
Q178751	archdiocese
Q178925	Spanish island of the Canary Islands
Q179110	opera by Giuseppe Verdi
Q179249	municipality in Flemish Brabant, Belgium
Q179608	capital of Guangxi, China
Q179734	largest and most voluminous Icelandic glacier
Q179833	city in Azerbaijan (City Subordinate to the Republic)
Q179975	1927–1950 civil war in China
Q180098	1959 American epic historical drama film by William Wyler
Q180611	municipality of Spain
Q181086	1971 dystopian crime film directed by Stanley Kubrick
Q181197	army service component command/theater army of the United States Army
Q181314	city and municipality in Walloon Brabant, Belgium
Q181367	diocese of the Catholic Church in the Philippines
Q181533	International armed conflict in Bosnia and Herzegovina between 1992 and 1995
Q181659	American fantasy and science fiction author (1929-2018)
Q181857	bay on the Atlantic coast of Canada noted for high tides
Q181882	county in Ireland
Q181946	commune in Val-d'Oise, France
Q182009	city in Turkey
Q182206	2012 Japanese animated film directed by Mahiro Maeda, Kazuya Tsurumaki, Masayuki and Hideaki Anno
Q182254	2007 film directed by David Silverman
Q182449	interior ministry of the Soviet Union (1934-1946)
Q182496	Web search engine from Microsoft
Q182633	county in Ireland
Q182872	commune in Seine-et-Marne, France
Q183029	former municipality in Vestfold, Norway
Q183104	city in Vorarlberg, Austria
Q183124	city and municipality in Bolivia
Q183202	theater in Turin, Italy
Q183231	central bank of the United Kingdom
Q183298	capital city of Oyo State in Nigeria
Q183326	men's national association football team representing Armenia
Q183539	county in Ireland
Q184116	city in Lake County, Indiana, United States
Q184345	city in Chile
Q184425	theatre of war in the Second World War
Q184445	county in Ireland
Q184579	town in Greater Manchester, in the North West of England
Q185125	city located in the western Shizuoka Prefecture of Japan
Q185291	sea located in the western Pacific Ocean
Q185453	city in Punjab, Pakistan
Q185582	county seat of Knox County, Tennessee, United States; third-largest city in Tennessee
Q186125	multi-purpose indoor arena in New York City, located in Midtown Manhattan between 7th and 8th Avenues from 31st to 33rd Streets
Q186234	city in Iraq, about 170 kilometres (110 mi) south of Baghdad, and 10 kilometres (6.2 mi) northeast of Najaf.
Q186285	public research university in Copenhagen, Denmark
Q186591	Centre-left social democratic political party in Pakistan
Q186785	association football club in Trondheim, Norway
Q186941	film production and distribution studio of the United States of América
Q187091	association football club in Switzerland
Q187136	prefecture-level city in Henan, China
Q187205	city in Bistrița-Năsăud County, Romania
Q187266	1999 American animated film
