C0979237	oxytetracycline_125_mg_oral_capsule
C3273142	extrahepatic_bile_duct_mixed_adenoneuroendocrine_carcinoma
C1513995	neoplastic_large_b_lymphocyte
C0507010	C0507010
C0551130	C0551130
C1184145	occipital
C1446714	timothy_grass_allergenic_extract
C2926277	C2926277
C0507206	C0507206
C3654987	C3654987
C0881598	C0881598
C4046565	ethinyl_estradiol_levonorgestrel
C1329090	esmolol
C0937574	gabapentin
C0482160	C0482160
C0502350	C0502350
C0257137	prss8_protein__human
C1372547	C1372547
C0735485	C0735485
C4037706	C4037706
C0229235	structure_of_suspensory_ligament_of_lens
C0819086	C0819086
C1954123	C1954123
C0973231	bicarbonate_ion
C0085177	rna_binding_protein
C2826250	collection_date_time
C0020074	hsan_4
C0935244	C0935244
C0004030	aspergillosis
C0926645	C0926645
C0734011	rectum_wall_structure
C1513718	mucin_producing_intrahepatic_cholangiocarcinoma
C3857555	C3857555
C2735846	C2735846
C3255822	methylcellulose__15_cps_
C0045093	gemcitabine
C0063584	inositolniacinate
C2923234	C2923234
C4033179	C4033179
C0978697	C0978697
C0827061	C0827061
C0446606	subphrenic_space
C1952826	C1952826
C0994618	C0994618
C0023705	lignin
C0440739	mixed_venous_blood
C1335473	primary_chondrosarcoma_of_bone
C0599921	lymphoid_tissue__mucosa_associated
C1977141	C1977141
C0346112	benign_pleural_mesothelioma
C3489664	adipates
C1655503	meloxicam
C0265268	adams_oliver_syndrome
C0927221	C0927221
C1716005	C1716005
C4074195	C4074195
C1545621	C1545621
C0482183	C0482183
C4046453	C4046453
C0007758	cerebellar_ataxia
C1954152	C1954152
C0439801	limited
C0035589	orientia_tsutsugamushi
C0017951	glycol
C1880232	limonene________
C2966812	C2966812
C1341011	propranolol
C0933754	C0933754
C3654480	C3654480
C0975688	citric_acid_potassium_citrate_sodium_citrate
C3211723	monofluorophosphate_dental_product
C2945982	C2945982
C1566391	coloring_agent
C0346267	ureter_cancer_stage_0is
C0500620	C0500620
C0485615	C0485615
C0334607	psammomatous_meningioma
C1336404	stage_ivc_oral_cavity_squamous_cell_carcinoma_ajcc_v6_and_v7
C1181565	C1181565
C3482364	C3482364
C0482508	C0482508
C3160200	revitol_5___topical_cream
C0829121	C0829121
C0037907	sphingosine
C1707968	extended_release_dosage_form
C0446436	level_of_the_fourth_lumbar_vertebra
C2701317	cultivated_oat_pollen_extract
C0003295	antidote
C1833661	paroxysmal_extreme_pain_disorder
C1261069	structure_of_left_apicoposterior_segmental_bronchus
C1315636	C1315636
C0018302	guaiac
C0830185	C0830185
C1184643	C1184643
C0484599	C0484599
C0979731	prazosin
C1714622	C1714622
C0441772	stage_4
C3485174	C3485174
C3666498	C3666498
C1637818	pramoxine
C0205451	5
C1856159	urioste_syndrome
C2947159	C2947159
C1516530	chromosome_19_physical_location
C0005632	bisacodyl
C1979354	C1979354
C0017040	ggtp
C1515311	testicular_yolk_sac_tumor__polyvesicular_vitelline_pattern
C0222006	structure_of_nail_plate_of_little_finger
C0016295	flunarizine
C0282104	ciprofloxacin_hydrochloride
C1335340	paranasal_sinus_mucoepidermoid_carcinoma
C3714787	cerebrospinal_axi
C3882857	C3882857
C0238196	small_intestine_carcinoma
C3843246	C3843246
C0356321	chloroquine_hydrochloride_50_mg_ml_injectable_solution
C1715976	C1715976
C4070390	C4070390
C3817851	C3817851
C2365446	levetiracetam
C1618102	salicylic_acid_1___medicated_pad
C2947764	purgasol_tablets_8.6_mg___50_mg_oral_tablet
C1508385	C1508385
C1880119	colon_medullary_carcinoma
C3500683	C3500683
C3639139	cdisc_questionnaire_mnsi_test_code_terminology
C1112748	colon_tubulovillous_adenoma
C2936531	gpi_linked_proteins
C1248817	acetaminophen___dichloralphenazone___isometheptene_oral_capsule
C0034086	valve_pulm
C1844383	recurrent_bacterial_infection
C0268273	adult_gm1_gangliosidosis
C1708436	il5_wt_allele
C1384408	microcystic_meningioma
C0334270	schneiderian_carcinoma
C1136102	capsid_protein
C2962188	C2962188
C0934034	C0934034
C4033047	C4033047
C0026636	mouth_dis
C0782056	deslanoside_0.2_mg_ml_injectable_solution
C2948991	lidocaine_hcl_4___topical_spray
C1180969	C1180969
C1544433	C1544433
C0810059	C0810059
C0487667	toxoplasma_gondii_dna
C3668961	C3668961
C0690643	triazolam
C0984831	cholecalciferol_400_unt
C3482560	C3482560
C3481761	C3481761
C2736051	C2736051
C0053792	bismuth_subsalicylate
C3256221	camellia_oleifera_leaf_extract
C2735985	C2735985
C2674574	loeys_dietz_syndrome__type_2b
C0085636	photophobia
C3664983	C3664983
C0224479	flexor_digitorum_brevis_muscle_of_foot
C1514511	prostate_ductal_adenocarcinoma__cribriform_pattern
C3485611	C3485611
C0580156	intermetacarpal_joint
C3846967	C3846967
C0949647	tocotrienol
C3892531	C3892531
C3812197	C3812197
C0942507	C0942507
C3172194	C3172194
C2741389	C2741389
C1302030	amylase___lipase___protease
C3213886	hepatitis_b_immune_globulin_injectable_product
C3695535	C3695535
C4080221	C4080221
C0852722	postcricoid_cancer
C2733780	C2733780
C2717318	cetearyl_glucoside
C0304556	malt_soup_extract
C0505369	C0505369
C1711423	thymic_epithelial_tissue
C0008280	chlorphenesin
C0803882	C0803882
C0836340	C0836340
C0943063	C0943063
C3263065	C3263065
C3505807	C3505807
C1716032	C1716032
C0018905	hemagglutination_test
C1359783	norethindrone_acetate_0.5_mg___ethinyl_estradiol_2.5_mcg_oral_tablet
C0346184	benign_germ_cell_tumor_of_ovary
C3887520	childhood_pineoblastoma
C1185611	C1185611
C3715199	C3715199
C3818550	C3818550
C2740117	trandolapril_verapamil
C0037769	west_syndrome
C3528772	C3528772
C2970247	C2970247
C2344023	C2344023
C2701510	salt_grass_pollen_extract
C2723679	southern_bayberry_pollen_extract
C1744526	cryptosporidium
C1185409	C1185409
C2746078	linagliptin
C4019740	C4019740
C0700459	nortriptyline_hydrochloride
C1954905	C1954905
C3654626	C3654626
C3848186	C3848186
C1716509	C1716509
C1181948	C1181948
C0012384	succimer
C0551820	C0551820
C0974433	anagrelide
C0521942	angiotensin_ii_receptor_blocker
C0227902	structure_of_left_fallopian_tube
C3215319	ketoprofen_pill
C0042124	utah
C2987263	esophageal_large_cell_neuroendocrine_carcinoma
C1333459	esophageal_lymphoma
C0978578	methylene_blue_55_mg_oral_tablet
C0030863	pentamidine
C0026056	midazolam
C1371896	C1371896
C0033390	prolixin
C0224528	structure_of_lambdoid_suture_of_skull
C0582261	enzyme_inhibitor_protein
C1412364	alpl_gene
C0003250	monoclonal_antibody
C0032950	prednisolone
C3265624	acetaminophen_163_mg___chlorpheniramine_maleate_2_mg___dextromethorphan_hbr_10_mg___phenylephrine_hcl_5_mg_oral_tablet
C2984236	metabolism_of_xenobiotics_by_cytochrome_p450_pathway
C2608653	aminosyn_ii_4.5___m_in_10___dextrose
C2970634	C2970634
C3485382	C3485382
C1332996	childhood_b_lymphoblastic_lymphoma
C0504058	C0504058
C0205246	generalized
C0368758	blastomyces_dermatitidis_antibody
C2978946	dextromethorphan_hydrobromide_15_mg
C3651585	C3651585
C2926252	C2926252
C3869834	C3869834
C3553637	C3553637
C1336064	splenic_manifestation_of_hairy_cell_leukemia
C3245255	C3245255
C0033325	prognosis
C1879931	cdisc_send_country_terminology
C0927227	C0927227
C0002772	opioid_analgesic
C4046574	C4046574
C0829265	C0829265
C1707291	nut_midline_carcinoma
C0004745	barbiturate
C0268532	hyperimidodipeptiduria
C3482091	C3482091
C0935079	C0935079
C1978142	C1978142
C0020931	aa_second
C2972985	C2972985
C2947119	C2947119
C0334232	epithelioma__benign
C3700803	C3700803
C1377648	adenocarcinoma_with_osseous_metaplasia
C4071612	C4071612
C0206338	phosphotransferases_alcohol
C1831413	C1831413
C0010324	crigler_najar_syndrome
C1881339	carbidopa_anhydrous
C0443476	free_cortisol
C1185652	cephalometric_pterygomaxillary_fissure_point
C0976128	dexamethasone_sodium_phosphate_1_mg_ml_topical_cream
C1710166	sporadic_thyroid_gland_medullary_carcinoma
C0979976	C0979976
C0265257	miller_syndrome
C0460002	body_system_structure
C0937759	ketorolac_tromethamine
C0994948	ergoloid_mesylates
C0063188	hydroxypropyl_cellulose__type_h_
C0925454	C0925454
C2347539	adult_acute_myeloid_leukemia_with_recurrent_genetic_abnormalities
C0819084	C0819084
C4056213	C4056213
C0071304	isradipine
C0031398	phenylethanol
C2986464	nfkb1_wt_allele
C1837122	myasthenic_syndrome__congenital__fast_channel
C1854405	frontoocular_syndrome
C0688495	dexamethasone
C0226410	structure_of_ureteral_branch_of_testicular_artery
C2741401	C2741401
C2961177	C2961177
C3481927	C3481927
C3200624	1_ml_haloperidol_5_mg_ml_injection
C0050587	acrylamide
C2370691	apap_650_mg___propoxyphene_napsylate_100_mg_oral_tablet
C3655135	C3655135
C2701223	wormwood_sage_pollen_extract
C3203018	C3203018
C3486033	ethinyl_estradiol_levonorgestrel
C0332437	associated_morphology
C0226284	structure_of_intercostal_branch_of_internal_thoracic_artery
C0013080	trisomy_21
C1184890	C1184890
C3666339	C3666339
C1316039	C1316039
C1332252	ampulla_of_vater_tubular_adenoma
C1114650	C1114650
C0229239	structure_of_lens_of_right_eye
C0980102	sargramostim_500_mcg_ml_injectable_solution
C0004891	bcr_abl_fusion_protein
C3857482	C3857482
C1241346	petrolatum_topical_ointment
C0043375	xylose
C1245841	diclofenac_extended_release_oral_tablet
C0448300	C0448300
C3643015	C3643015
C0500600	C0500600
C3481734	C3481734
C0974329	amoxicillin_clavulanate
C0746765	mass_of_nose
C3888224	insulin
C0265263	femoral_facial_syndrome
C1511284	breast_angiomatosis
C3641221	papillary_carcinoma_of_the_penis__not_otherwise_specified
C0345911	gallbladder_cancer_stage_0
C0979750	prednisolone_acetate_0.125___ophthalmic_suspension
C0279566	paget_s_disease_and_intraductal_carcinoma_of_breast
C0109105	cetalkonium_chloride
C0026955	mycotoxin
C0206674	villous_adenoma
C0736296	C0736296
C0829146	C0829146
C3831884	C3831884
C0922666	C0922666
C1148560	C1148560
C0334245	squamous_cell_carcinoma_in_situ
C0705538	cyclosporine
C0306303	C0306303
C0040460	toothache
C2757061	C2757061
C4025919	C4025919
C1145716	C1145716
C0772420	rizatriptan_benzoate
C0774525	dopamine
C1176562	trolamine_salicylate_100_mg_ml
C1576469	entecavir
C0043515	zollinger_ellison_syndrome
C3504606	C3504606
C1524292	C1524292
C1182945	C1182945
C3275464	C3275464
C3256543	isodecyl_neopentanoate
C0934769	C0934769
C3859719	lidocaine
C4070042	C4070042
C0035235	respiratory_syncytial_virus_infection
C0819982	C0819982
C0831936	C0831936
C1168838	glipizide_metformin
C1528018	hyrc_protein__human
C0923665	C0923665
C1328061	myeloproliferative_neoplasm__unclassifiable
C1332202	adult_ganglioglioma
C1182669	C1182669
C0227913	structure_of_uterine_portion_of_fallopian_tube
C1170890	boost
C1831180	C1831180
C1512084	ductal_carcinoma_cell
C0084273	quinidine_polygalacturonate
C0086741	osmolality
C2341623	mometasone
C2926485	C2926485
C2954585	C2954585
C0041296	tuberculosis
C1333195	cytochrome_p450_family_gene
C3640253	cdisc_clinical_data_element_glossary_terminology
C3667475	C3667475
C0690670	trimethoprim
C0337184	physical_restraint_equipment
C1183178	C1183178
C0881426	C0881426
C3169546	C3169546
C2684174	diltzac_120_mg_24hr_extended_release_oral_capsule
C3709490	sunflower_lecithin
C3484439	C3484439
C0784520	pramoxine
C0228933	structure_of_perineal_branches_of_posterior_femoral_cutaneous_nerve
C0021445	inguinal_canal
C0278553	colon_cancer_recurrent
C3663616	apeaz__camphor_4_____menthol_10_____methyl_salicylate_30_____topical_cream
C2265839	C2265839
C0230250	structure_of_mesentery_of_small_intestine
C0016129	finger
C2961087	C2961087
C3206947	cetirizine_oral_product
C1611331	malvin
C0226327	structure_of_right_colic_artery
C2064411	liver_kaposi_sarcoma
C0033497	propranolol
C3489351	C3489351
C1512741	infiltrating_bladder_urothelial_carcinoma__nested_variant
C0224620	carpometacarpal_joint
C0975385	cefpodoxime_proxetil
C1833142	contracture_of_elbow_joint
C1831434	C1831434
C2983288	cdisc_send_study_type_terminology
C0501508	C0501508
C3897082	C3897082
C2948569	zinc_oxide_1.8___topical_ointment
C4046443	C4046443
C3643184	C3643184
C1247741	pseudoephedrine_oral_tablet
C0934508	C0934508
C0222819	bone_structure_of_first_rib
C1871788	ccl3_protein__human
C0224591	joint_structure_of_thoracolumbar_junction_of_spine
C0226918	buccal_salivary_gland
C3496878	C3496878
C0043202	wpw_syndrome
C0724546	carbetapentane_tannate
C0346154	malignant_phyllodes_tumor_of_breast
C1372812	C1372812
C0232939	primary_amenorrhea
C0002367	aluminum
C0855087	hodgkin_s_disease_nodular_sclerosis_stage_i
C0939899	cinnamon_preparation
C0012288	dihydroergocornine
C0980678	thiothixene
C3668969	C3668969
C3651336	C3651336
C1978634	C1978634
C3505797	C3505797
C0818546	C0818546
C1439435	C1439435
C0979179	oxcarbazepine
C1813339	mucinex_20_mg_ml_oral_solution
C2751608	pituitary_hormone_deficiency__combined__1
C0994641	C0994641
C0803014	C0803014
C2973140	C2973140
C2757068	C2757068
C2945983	C2945983
C3668795	methotrexate
C3272483	ampulla_of_vater_enterochromaffin_cell_serotonin_producing_neuroendocrine_tumor
C2961728	quickflex_1.25___topical_cream
C0807454	C0807454
C0001621	adrenal_disorder
C4050658	C4050658
C3864662	C3864662
C0161972	complication_of_the_puerperium
C0223646	structure_of_posterior_superior_iliac_spine
C3692885	C3692885
C0974163	alprostadil
C1572624	nitroglycerin
C1584697	restoril_22.5_mg_oral_capsule
C1590750	dexbrompheniramine_maleate_2_mg___dextromethorphan_hbr_20_mg___phenylephrine_hcl_10_mg_in_5_ml_oral_solution
C0216784	valsartan
C3174217	C3174217
C1638895	C1638895
C3857584	C3857584
C1373066	enzyme_interaction
C3485546	C3485546
C0942502	C0942502
C0001128	acid
C0994674	C0994674
C0026458	monobactam
C3539904	C3539904
C0153594	testis_cancer
C0001552	adjuvant_pharm
C1336089	bladder_transitional_cell_carcinoma_stage_0
C0831010	C0831010
C0594374	topoisomerase_i_inhibitor
C1372012	C1372012
C0021701	integrin
C2938117	sage_leaf_allergenic_extract
C1709397	pdpk1_wt_allele
C1336047	neurofibroma_of_spinal_cord
C4020311	C4020311
C1716023	C1716023
C0825308	C0825308
C0019880	homocystinuria
C1711178	bronchial_epithelial_cell
C1524153	C1524153
C4033264	C4033264
C1513836	nfat_pathway
C2920081	phenylephrine_hydrochloride_2.5_mg_ml
C3488707	C3488707
C1711794	cyanocobalamin_folic_acid_pyridoxine
C0423110	downward_slant_of_palpebral_fissure
C4019461	C4019461
C1269867	nebivolol
C0027709	nephrocalcinosis
C0978904	naphazoline
C1167737	small_intestine_carcinoma_stage_iii
C0229393	structure_of_incudomallear_articulation
C0981462	glipizide
C0980411	sulfisoxazole_40_mg_ml_eye_solution
C3644593	protex_0.4___medicated_liquid_soap
C3528966	C3528966
C1696556	albuterol
C0018417	gynecology
C0226109	structure_of_facial_artery
C1528558	brca1_protein__human
C0792592	morphine
C3486662	vinca_minor_extract
C0280334	paranasal_sinus_squamous_cell_carcinoma
C0016787	fucosidase
C1154911	C1154911
C0736376	C0736376
C2979329	amino_acids_dextrose_electrolytes
C0002962	angina_pectoris
C0035608	rifampin
C0279665	mucinous_cystadenocarcinoma_ovary
C3212962	guaifenesin___hydrocodone_oral_product
C0942190	C0942190
C2677109	leukodystrophy__hypomyelinating__4
C0484597	C0484597
C0501155	C0501155
C0817306	C0817306
C1332228	alcohol_related_hepatocellular_carcinoma
C0002878	hemolytic_anemia
C0736870	C0736870
C1874622	C1874622
C1539082	cd40lg_gene
C0691727	iron
C4046442	C4046442
C0485712	C0485712
C1697108	methylphenidate
C2723174	codeine_phosphate_1_mg_ml___guaifenesin_20_mg_ml___pseudoephedrine_hydrochloride_3_mg_ml_oral_suspension__zodryl_dec_
C3535524	C3535524
C1530834	alpha_isomethylionone
C3487976	krameria_lappacea_root_extract
C0242894	cholinergic_ag
C1291996	venezuelan_equine_encephalitis_virus_antibody
C3262938	C3262938
C1178580	fenugreek_seed_preparation
C3500612	C3500612
C3260989	C3260989
C0689957	phenobarbital
C2948618	head___shoulders_0.5___conditioner
C0819970	C0819970
C0023067	laryngitis
C2979794	C2979794
C0042232	vagina
C0502489	first_intercostal_nerve
C0789465	acetaminophen_500_mg___diphenhydramine_hcl_12.5_mg_oral_tablet
C0501673	C0501673
C4046611	C4046611
C0379710	caveolin_1
C1184812	C1184812
C0736837	C0736837
C1855652	C1855652
C1714704	C1714704
C3844180	five_to_six_times_per_week
C0600251	interleukin_1_alpha
C1333181	cyclin_dependent_kinase_gene
C0029939	ovary
C1847987	huntington_disease_like_2
C0282391	ceftizoxime_sodium
C4026919	C4026919
C0151744	ischemic_heart_dis
C0432198	srps_iv
C0820536	C0820536
C1830784	C1830784
C0822033	C0822033
C2970455	C2970455
C1329138	C1329138
C2741407	C2741407
C0690746	warfarin
C1126260	phenylpropanolamine_25_mg
C3216657	sulfacetamide___sulfur_topical_product
C1176315	fosamprenavir
C1306837	papillary_renal_cell_carcinoma
C2827715	cdisc_sdtm_pharmacokinetic_parameter_long_name_terminology
C1828761	amino_acids
C1096349	cardiac_neurofibroma
C0012582	dipyridamole
C2000088	asenapine
C0002460	american_indian
C2675897	1q21.1_deletion
C3654599	C3654599
C0550984	C0550984
C0226480	structure_of_plantar_metatarsal_artery
C0739607	C0739607
C0500521	C0500521
C0975164	calcium_carbonate
C0921222	C0921222
C1855553	pyruvate_dehydrogenase_e3_binding_protein_deficiency
C3528590	C3528590
C2702371	pork_allergenic_extract
C0925128	C0925128
C1530358	p300_protein__human
C2338391	C2338391
C0018120	ovarian_follicle
C0854816	lymphoplasmacytoid_lymphoma_immunocytoma_stage_iii
C0060657	formoterol
C0700727	sudafed
C0226789	structure_of_uterine_venous_plexus
C0551804	C0551804
C0003174	anthranoid
C0549986	C0549986
C1315869	C1315869
C0022181	isoflurophate
C0831744	C0831744
C0006233	brdu
C0980836	trifluridine
C1517051	extracellular_matrix_binding_pathway
C1439870	C1439870
C0027712	nephrology
C0206419	coronavirus
C4056241	C4056241
C0055819	citric_acid
C1181666	C1181666
C0739432	C0739432
C1332987	childhood_ovarian_choriocarcinoma
C1336545	syncytial_pattern
C0026833	centrally_acting_muscle_relaxant
C0225023	structure_of_sternocostal_radiate_ligaments
C0933483	C0933483
C1813811	paliperidone
C1977427	C1977427
C0691174	benzocaine_10_mg_oral_lozenge
C1707300	cardiac_intramuscular_hemangioma
C0206754	neuroendocrine_tumor
C2954250	salicylic_acid_2___paste
C2725176	tl_gard_rx_2.2_mg___1_mg___25_mg_oral_tablet
C4033441	influenza_b_virus_b_phuket_3073_2013_antigen
C1336401	stage_ivc_adenoid_cystic_carcinoma_of_the_mouth
C0925695	C0925695
C1522060	epithelioid_melanoma_cell
C0738953	C0738953
C3666436	vytone__hydrocortisone_acetate_1.9_____iodoquinol_1_____topical_cream
C3892636	C3892636
C1334740	metastatic_signet_ring_cell_carcinoma_of_breast
C0034809	glucocorticoid_recept
C3204733	C3204733
C3465326	C3465326
C0030354	papilloma
C2961136	C2961136
C1518105	map_kinase_downregulation_pathway
C1367798	mekk1_protein__human
C0980970	verapamil
C1968804	dysplasminogenemia
C0689910	penicillamine_125_mg_oral_capsule
C0803134	C0803134
C0026638	mouth_floor
C2940212	secale_cereale_pollen_extract
C0981684	phentolamine
C3249336	C3249336
C0228023	structure_of_head_of_epididymis
C0688454	danazol
C3535497	C3535497
C0302227	persic_oil
C3488404	C3488404
C1335337	paranasal_sinus_adenoid_cystic_carcinoma
C1846367	spinocerebellar_ataxia_19
C0974530	apraclonidine
C0798419	C0798419
C1735418	doxycycline
C1707290	cylindrocarcinoma
C0881919	C0881919
C1513928	neoplastic_b_lymphoblast
C0926679	C0926679
C0819774	C0819774
C3639721	updrs_panel
C1706993	brain_nucleus
C3654151	C3654151
C0978213	linezolid
C1839829	C1839829
C1182902	C1182902
C3555122	C3555122
C0020752	ichthammol
C0790350	salicylic_acid_0.5___topical_cream
C0006030	boron
C4071827	C4071827
C0053749	bisgma
C0923430	C0923430
C0925575	C0925575
C0001529	dercum_dis
C2608570	codeine_phosphate_2_mg_ml
C3644747	C3644747
C1831336	C1831336
C0935089	C0935089
C3175450	C3175450
C3664988	neuromed_4___topical_cream
C1247759	guaifenesin___pseudoephedrine_oral_tablet
C4038534	C4038534
C1874263	C1874263
C3496890	C3496890
C0459309	nerve_to_stylopharyngeus
C2359815	C2359815
C1185790	C1185790
C3655290	C3655290
C3653915	C3653915
C2356091	halls_5_mg_oral_lozenge
C2697895	agent_affecting_blood_or_body_fluid
